273,2018,LoveYouForever,Firefly Books 
274,2018,DragonsLoveTacos,Dial Books
275,2018,TheWomanintheWindow,William Morrow Paperbacks
276,2018,Dungeons&DragonsMonsterManualCore…,Wizards of the Coast 
277,2018,SimplyKetoAPracticalApproachtoHealth&…,Victory Belt Publishing
278,2018,StrengthsFinder2.0,Gallup Press
279,2018,ExtremeOwnershipHowU.S.NavySEALsLead…,St. Martin's Press
280,2018,TheRussiaHoaxTheIllicitSchemetoClear…,Broadside Books
281,2018,HowtoDraw101Animals,Imagine That
282,2018,TheSunandHerFlowers,Andrews McMeel Publishing
283,2018,TheLife-ChangingMagicofTidyingUpThe…,Ten Speed Press
284,2018,TheEasy5-IngredientKetogenicDietCookbook…,Rockridge Press 
285,2018,WhereDoDiggersSleepatNightWhere…,Random House Books for Young Readers
286,2018,The7HabitsofHighlyEffectivePeople…,Simon & Schuster
287,2018,WhiskeyinaTeacupWhatGrowingUpinthe…,Atria Books
288,2018,Man'sSearchforMeaningOLDEDITION/OUT…,Beacon Press
289,2018,TheGreatAlone,St. Martin's Press
290,2018,TheTotalMoneyMakeoverClassicEditionA…,Thomas Nelson
291,2018,CravingsHungryforMoreACookbook,Clarkson Potter
292,2018,TheHandmaid'sTale,Anchor
293,2018,TheGiftsofImperfectionLetGoofWhoYou…,Brilliance Audio
294,2018,TheGreatGatsby,Scribner 
295,2018,TheBodyKeepstheScoreBrainMindandBody…,Penguin Books
296,2018,GmorningGnightLittlePepTalksforMe&You,Random House
297,2018,RichDadPoorDadWhattheRichTeachTheir…,Plata Publishing
298,2018,MakeYourBedLittleThingsThatCanChange…,Grand Central Publishing
299,2018,HarryPotterPaperbackBoxSetBooks1-7,Arthur A. Levine Books
300,2018,Xanathar'sGuidetoEverythingDungeons&…,Wizards of the Coast
301,2017,Wonder,Knopf Books for Young Readers
302,2017,MilkandHoney,Andrews McMeel Publishing
303,2017,GiraffesCan'tDance,Cartwheel Books
304,2017,TheSubtleArtofNotGivingaF*ckA…,Harper
305,2017,TheGetaway,Harry N. Abrams
306,2017,TheInstantPotElectricPressureCooker…,Rockridge Press 
307,2017,HillbillyElegyAMemoirofaFamilyandCulture…,Harper Paperbacks
308,2017,AstrophysicsforPeopleinaHurry,W. W. Norton & Company
309,2017,First100Words,Priddy Books US
310,2017,TheWhole30The30-DayGuidetoTotalHealth…,Houghton Mifflin Harcourt
311,2017,TheHandmaid'sTale,Anchor
312,2017,The5LoveLanguagesTheSecrettoLovethat…,Northfield Publishing
313,2017,YouAreaBadassHowtoStopDoubtingYour…,Running Press Adult
314,2017,WhatHappened,Simon & Schuster
315,2017,OhthePlacesYou'llGo  ,Random House Books for Young Readers 
316,2017,MakeYourBedLittleThingsThatCanChange…,Grand Central Publishing
317,2017,1984SignetClassics,Signet Classic 
318,2017,HowtoWinFriends&InfluencePeople,Pocket Books 
319,2017,OriginRobertLangdon
320,2017,AManCalledOve,Washington Square Press
321,2017,TheSunandHerFlowers,Andrews McMeel Publishing
322,2017,DearZooALift-the-FlapBook,Little Simon
323,2017,TheFourAgreementsAPracticalGuideto…,Amber-Allen Publishing Incorporated 
324,2017,TheGoing-To-BedBook,Little Simon
325,2017,StrengthsFinder2.0,Gallup Press
326,2017,TheWonderfulThingsYouWillBe,Random House Books for Young Readers
327,2017,TheShackWhereTragedyConfrontsEternity,Windblown Media
328,2017,TheLife-ChangingMagicofTidyingUpThe…,Ten Speed Press
329,2017,OptionBFacingAdversityBuildingResilience…,Knopf
330,2017,ThugKitchenTheOfficialCookbookEatLike…,Rodale Books
331,2017,AGentlemaninMoscow,Penguin Books
332,2017,PublicationManualoftheAmerican…,American Psychological Association
333,2017,GoodnightMoon,HarperCollins
334,2017,ThirteenReasonsWhy,Razorbill
335,2017,LeonardodaVinci,Simon & Schuster
336,2017,ThePout-PoutFish,Farrar Straus and Giroux 
337,2017,HarryPotterandthePrisonerofAzkabanThe…,Scholastic Paperbacks 
338,2017,IfAnimalsKissedGoodNight,Farrar Straus and Giroux 
339,2017,BrownBearBrownBearWhatDoYouSee,Henry Holt and Co. (BYR)
340,2017,Player'sHandbookDungeons&Dragons,Wizards of the Coast
341,2017,TheVeryHungryCaterpillar,World of Eric Carle 
342,2017,PuppyBirthdaytoYouPawPatrolLittle…,Golden Books
343,2017,Laugh-Out-LoudJokesforKids,Revell 
344,2017,ToolsofTitansTheTacticsRoutinesandHabits…,Houghton Mifflin Harcourt
345,2017,MilkandVineInspirationalQuotesFromClassic…,Independently published 
346,2017,ReadyPlayerOne,Ballantine Books
347,2017,DogManATaleofTwoKittiesFromtheCreator…,Graphix
348,2017,ObamaAnIntimatePortrait,Little Brown and Company
349,2017,The7HabitsofHighlyEffectivePeople…,Simon & Schuster
350,2017,KillersoftheFlowerMoonTheOsageMurders…,Vintage
351,2017,TheCareandKeepingofYouTheBodyBookfor…,American Girl
352,2017,UninvitedLivingLovedWhenYouFeelLess…,Thomas Nelson on Brilliance Audio
353,2017,BigLittleLies,Berkley
354,2017,TheOfficialSATStudyGuide2018Edition…,College Board
355,2017,TheWhole30Cookbook150Deliciousand…,Houghton Mifflin Harcourt
356,2017,ThinkingFastandSlow,Farrar Straus and Giroux
357,2017,JesusCallingEnjoyingPeaceinHisPresence…,Thomas Nelson
358,2017,WhattoExpectWhenYou'reExpecting,Workman Publishing Company
359,2017,N/A
360,2017,TheGreatGatsby,Scribner 
361,2017,TheWisdomofSundaysLife-ChangingInsights…,Flatiron Books 
362,2017,PisforPottySesameStreetLift-the-Flap,Random House Books for Young Readers
363,2017,TheRoosterBar,Dell 
364,2017,TheGivingTree,Harper & Row
365,2017,ShePersisted13AmericanWomenWho…,Philomel Books
366,2017,OnTyrannyTwentyLessonsfromtheTwentieth…,Tim Duggan Books
367,2017,TheAlchemist25thAnniversaryAFableAbout…,HarperOne
368,2017,Fahrenheit451,Simon & Schuster
369,2017,CaminoIsland,Dell
370,2017,TurtlesAlltheWayDown,Penguin Books
371,2017,TheGiftsofImperfectionLetGoofWhoYou…,Brilliance Audio
372,2017,LoveYouForever,Firefly Books 
373,2017,ThePioneerWomanCooksComeandGetIt…,William Morrow Cookbooks
374,2017,MindsetTheNewPsychologyofSuccess,Ballantine Books
375,2017,WhereIsBaby'sBellyButtonALift-the-FlapBook,Little Simon
376,2017,Grant,Penguin Books
377,2017,LuntSolarSystemsJuniorSizePremiumCE&ISOCertifiedEclipseGlassesPackof4
378,2017,SapiensABriefHistoryofHumankind,Harper Perennial
379,2017,TheIntelligentInvestorTheDefinitiveBookon…,Harper Business
380,2017,ThePlantParadoxTheHiddenDangersin…,Tantor Audio
381,2017,TheTrialsofApolloBookTwoTheDark…,Disney-Hyperion
382,2017,EverythingEverything,Ember
383,2017,StartwithWhyHowGreatLeadersInspire…,Portfolio
384,2017,NorseMythology,W. W. Norton & Company
385,2017,BeneathaScarletSky,Lake Union Publishing
386,2017,DogManUnleashedFromtheCreatorof…,Scholastic Children's Books 
