Rank,Year,Title,Genre,Year_Rank,Note,,,,,,,,,,,,,,,,,,,,
161,2019,Sapiens: A Brief History of Humankind,Politics&SocialSciences,2019_61,,,,,,,,,,,,,,,,,,,,,
162,2019,What to Expect When You're Expecting,Parenting&Relationships,2019_62,,,,,,,,,,,,,,,,,,,,,
163,2019,Where the Crawdads Sing,Literature&Fiction,2019_63,,,,,,,,,,,,,,,,,,,,,
164,2019,Daring Greatly: How the Courage to Be…,Business&SelfHelp,2019_64,,,,,,,,,,,,,,,,,,,,,
165,2019,"The Alchemist, 25th Anniversary: A Fable About…",Religion&Spirituality,2019_65,,,,,,,,,,,,,,,,,,,,,
166,2019,Publication Manual of the American…,Reference,2019_66,,,,,,,,,,,,,,,,,,,,,
167,2019,The Pout-Pout Fish,Children'sBooks,2019_67,,,,,,,,,,,,,,,,,,,,,
168,2019,Talking to Strangers: What We Should Know…,Politics&SocialSciences,2019_68,,,,,,,,,,,,,,,,,,,,,
169,2019,Dear Zoo: A Lift-the-Flap Book,Children'sBooks,2019_69,,,,,,,,,,,,,,,,,,,,,
170,2019,The Overstory,Literature&Fiction,2019_70,,,,,,,,,,,,,,,,,,,,,
171,2019,Fahrenheit 451,Politics&SocialSciences,2019_71,,,,,,,,,,,,,,,,,,,,,
172,2019,StrengthsFinder 2.0,Business&SelfHelp,2019_72,,,,,,,,,,,,,,,,,,,,,
173,2019,12 Rules for Life: An Antidote to Chaos,Politics&SocialSciences,2019_73,,,,,,,,,,,,,,,,,,,,,
174,2019,Eleanor Oliphant Is Completely Fine,Literature&Fiction,2019_74,,,,,,,,,,,,,,,,,,,,,
175,2019,Me: Elton John Official Autobiography,Biographies&Memoirs,2019_75,,,,,,,,,,,,,,,,,,,,,
176,2019,The Road Back to You: An Enneagram Journey to…,Religion&Spirituality,2019_76,,,,,,,,,,,,,,,,,,,,,
177,2019,The Tattooist of Auschwitz,Literature&Fiction,2019_77,,,,,,,,,,,,,,,,,,,,,
178,2019,People of Walmart.com Adult Coloring Book:…,Business&SelfHelp(CCD),2019_78,,,,,,,,,,,,,,,,,,,,,
179,2019,The Great Gatsby,Literature&Fiction,2019_79,,,,,,,,,,,,,,,,,,,,,
180,2019,The Complete Cookbook for Young Chefs: 100+…,"Cookbooks,Food&Wine",2019_80,,,,,,,,,,,,,,,,,,,,,
181,2019,"Blowout: Corrupted Democracy, Rogue State…",Politics&SocialSciences,2019_81,,,,,,,,,,,,,,,,,,,,,
182,2019,Love You Forever,Children'sBooks,2019_82,,,,,,,,,,,,,,,,,,,,,
183,2019,The Easy 5-Ingredient Ketogenic Diet Cookbook:…,"Cookbooks,Food&Wine",2019_83,,,,,,,,,,,,,,,,,,,,,
184,2019,The Giving Tree,Literature&Fiction,2019_84,,,,,,,,,,,,,,,,,,,,,
185,2019,Dragons Love Tacos,Children'sBooks,2019_85,,,,,,,,,,,,,,,,,,,,,
